date,confirmed,deaths,recovered
2020-01-22,0,0,0
2020-01-23,0,0,0
2020-01-24,0,0,0
2020-01-25,0,0,0
2020-01-26,0,0,0
2020-01-27,0,0,0
2020-01-28,0,0,0
2020-01-29,0,0,0
2020-01-30,0,0,0
2020-01-31,0,0,0
2020-02-01,0,0,0
2020-02-02,0,0,0
2020-02-03,0,0,0
2020-02-04,0,0,0
2020-02-05,0,0,0
2020-02-06,0,0,0
2020-02-07,0,0,0
2020-02-08,0,0,0
2020-02-09,0,0,0
2020-02-10,0,0,0
2020-02-11,0,0,0
2020-02-12,0,0,0
2020-02-13,0,0,0
2020-02-14,0,0,0
2020-02-15,0,0,0
2020-02-16,0,0,0
2020-02-17,0,0,0
2020-02-18,0,0,0
2020-02-19,0,0,0
2020-02-20,0,0,0
2020-02-21,0,0,0
2020-02-22,0,0,0
2020-02-23,2,0,0
2020-02-24,2,0,0
2020-02-25,2,0,0
2020-02-26,2,0,0
2020-02-27,2,0,0
2020-02-28,2,0,0
2020-02-29,2,0,0
2020-03-01,9,0,0
2020-03-02,9,0,0
2020-03-03,10,0,0
2020-03-04,10,0,0
2020-03-05,13,0,0
2020-03-06,13,0,0
2020-03-07,13,0,0
2020-03-08,20,0,0
2020-03-09,20,0,0
2020-03-10,25,0,0
2020-03-11,35,0,0
2020-03-12,35,0,0
2020-03-13,55,0,0
2020-03-14,88,0,0
2020-03-15,101,0,0
2020-03-16,182,0,0
2020-03-17,228,0,0
2020-03-18,265,0,0
2020-03-19,265,0,0
2020-03-20,461,0,6
2020-03-21,592,0,6
2020-03-22,687,1,8
2020-03-23,801,2,8
2020-03-24,977,2,17
2020-03-25,1197,3,22
2020-03-26,1361,4,22
2020-03-27,1665,5,43
2020-03-28,2015,6,61
2020-03-29,2245,7,75
2020-03-30,2555,8,156
2020-03-31,2844,12,156
2020-04-01,3137,16,234
2020-04-02,3510,18,335
2020-04-03,3843,22,427
2020-04-04,4355,27,528
2020-04-05,4665,34,618
2020-04-06,5009,37,728
2020-04-07,5310,43,898
2020-04-08,5740,48,1115
2020-04-09,6166,57,1274
2020-04-10,6695,65,1571
2020-04-11,7366,73,1864
2020-04-12,7652,80,2059
2020-04-13,7964,82,2367
2020-04-14,8356,92,2646
2020-04-15,8712,94,2937
2020-04-16,9246,105,3299
2020-04-17,9691,116,3621
2020-04-18,10598,126,4035
2020-04-19,10956,133,4338
2020-04-20,11375,139,4676
2020-04-21,11700,147,4969
2020-04-22,12164,160,5386
2020-04-23,12680,168,5804
2020-04-24,13174,174,6327
2020-04-25,14537,181,6746
2020-04-26,15010,189,7024
2020-04-27,15492,198,7327
2020-04-28,16044,207,7710
2020-04-29,16564,216,8057
2020-04-30,17702,227,8580
2020-05-01,18687,234,9018
2020-05-02,21213,247,9572
2020-05-03,22441,260,10041
2020-05-04,23421,270,10415
2020-05-05,24794,275,10710
2020-05-06,25826,281,11189
2020-05-07,27359,285,11664
2020-05-08,28750,294,12160
2020-05-09,32208,304,12667
2020-05-10,33855,312,13112
2020-05-11,35052,323,13605
2020-05-12,36710,335,14125
2020-05-13,39370,346,14865
2020-05-14,42029,368,15655
2020-05-15,44531,394,16614
2020-05-16,50016,421,18014
2020-05-17,52369,450,19213
2020-05-18,54647,478,20165
2020-05-19,58167,509,21507
2020-05-20,62205,544,22504
2020-05-21,66169,589,23992
2020-05-22,70445,630,25342
2020-05-23,80287,673,26546
