Date,AveragePrice,Total Volume,4046,4225,4770,Total Bags,Small Bags,Large Bags,XLarge Bags,type,year,region
2017-10-22,1.58,34913.38,16.66,1569.42,0.0,33327.3,33327.3,0.0,0.0,organic,2017,Boston
2016-01-10,0.84,5647635.02,2683172.73,1900834.74,263562.26,800065.29,656702.11,140938.24,2424.94,conventional,2016,SouthCentral
2017-05-28,1.64,160484.02,1588.75,75152.52,109.42,83633.33,81516.96,1153.04,963.33,conventional,2017,BuffaloRochester
2016-12-25,0.93,445441.47,157380.83,104316.6,63.53,183680.51,87877.06,95803.45,0.0,conventional,2016,Tampa
2015-07-26,1.96,23093.97,6781.43,14705.3,28.07,1579.17,0.0,1579.17,0.0,organic,2015,Portland
2016-11-27,1.4,155286.15,26022.48,81008.09,83.97,48171.61,47430.94,740.67,0.0,conventional,2016,HarrisburgScranton
2015-05-10,1.42,861671.11,251602.18,349907.52,6213.47,253947.94,127774.24,126173.7,0.0,organic,2015,TotalUS
2017-08-06,0.94,974933.36,493642.98,198503.76,11502.53,271284.09,166106.57,101493.08,3684.44,conventional,2017,PhoenixTucson
2015-12-13,1.53,4594.71,592.64,2602.48,0.0,1399.59,696.67,702.92,0.0,organic,2015,Nashville
2016-04-03,1.04,3507226.18,1812848.17,636304.92,12154.28,1045918.81,551758.29,494160.52,0.0,conventional,2016,Southeast
2018-01-28,1.33,188556.57,103226.13,11072.2,397.94,73860.3,40095.88,33517.75,246.67,conventional,2018,Jacksonville
2017-07-30,1.6,41846.93,1117.3,8371.18,115.39,32243.06,32243.06,0.0,0.0,organic,2017,BaltimoreWashington
2017-07-30,1.56,258166.4,5477.9,190639.6,130.79,61918.11,59706.9,1314.55,896.66,conventional,2017,HartfordSpringfield
2015-07-26,1.04,1844887.26,898275.28,576870.99,53882.08,315858.91,292786.5,21669.83,1402.58,conventional,2015,Plains
2015-04-26,1.19,490426.14,202726.84,188384.71,10046.11,89268.48,89235.28,21.77,11.43,conventional,2015,Seattle
2015-06-14,1.13,88579.12,36980.68,35548.22,3428.77,12621.45,12621.45,0.0,0.0,conventional,2015,Spokane
2017-07-09,1.09,255253.55,3260.92,95015.46,1259.09,155718.08,38542.84,116563.71,611.53,conventional,2017,CincinnatiDayton
2016-10-30,1.48,94332.98,41423.95,4092.33,5.96,48810.74,47513.43,1297.31,0.0,organic,2016,SouthCentral
2015-07-26,1.87,3413.88,80.0,154.75,0.0,3179.13,3176.48,2.65,0.0,organic,2015,BuffaloRochester
2017-01-08,0.8,39403.42,8720.61,1639.28,53.69,28989.84,3473.4,25516.44,0.0,organic,2017,Denver
2017-01-15,1.48,749510.72,76382.33,472453.49,10119.64,190555.26,188395.17,2152.31,7.78,conventional,2017,BaltimoreWashington
2015-02-22,1.19,23920.36,12844.54,5815.13,667.62,4593.07,4593.07,0.0,0.0,organic,2015,BaltimoreWashington
2016-07-24,2.15,7348.62,1607.42,5412.41,2.66,326.13,326.13,0.0,0.0,organic,2016,Sacramento
2015-02-01,1.67,30193.16,3904.24,14499.51,32.15,11757.26,9989.22,1768.04,0.0,organic,2015,Plains
2015-11-08,0.96,147799.55,4337.57,84844.19,20220.42,38397.37,19246.38,15189.72,3961.27,conventional,2015,Indianapolis
2015-02-08,1.07,2856456.35,515789.01,1541252.99,238780.53,560633.82,472576.07,78544.87,9512.88,conventional,2015,GreatLakes
2017-06-04,1.26,361513.16,77883.8,57322.69,35156.7,191149.97,174009.46,12147.98,4992.53,conventional,2017,Detroit
2017-04-30,1.17,595539.82,304668.94,74961.15,240.51,215669.22,131644.64,75877.47,8147.11,conventional,2017,Atlanta
2016-06-12,1.15,501159.1,158599.19,263137.09,22373.0,57049.82,56671.26,13.14,365.42,conventional,2016,Sacramento
2016-04-03,1.12,192341.67,35648.2,87528.81,14614.66,54550.0,47755.59,6794.41,0.0,conventional,2016,Charlotte
2015-05-31,2.06,3762.06,1430.26,2097.71,0.0,234.09,123.33,110.76,0.0,organic,2015,StLouis
