,holiday,workingday,temp,atemp,humidity,windspeed,count,season_1,season_2,season_3,season_4,weather_1,weather_2,weather_3,weather_4,hour,day,month,year
0,0,0,9.84,14.395,81,0.0,16,1,0,0,0,1,0,0,0,0,5,1,0
1,0,0,9.02,13.635,80,0.0,40,1,0,0,0,1,0,0,0,1,5,1,0
2,0,0,9.02,13.635,80,0.0,32,1,0,0,0,1,0,0,0,2,5,1,0
3,0,0,9.84,14.395,75,0.0,13,1,0,0,0,1,0,0,0,3,5,1,0
4,0,0,9.84,14.395,75,0.0,1,1,0,0,0,1,0,0,0,4,5,1,0
5,0,0,9.84,12.88,75,6.0032,1,1,0,0,0,0,1,0,0,5,5,1,0
6,0,0,9.02,13.635,80,0.0,2,1,0,0,0,1,0,0,0,6,5,1,0
7,0,0,8.2,12.88,86,0.0,3,1,0,0,0,1,0,0,0,7,5,1,0
8,0,0,9.84,14.395,75,0.0,8,1,0,0,0,1,0,0,0,8,5,1,0
9,0,0,13.12,17.425,76,0.0,14,1,0,0,0,1,0,0,0,9,5,1,0
10,0,0,15.58,19.695,76,16.9979,36,1,0,0,0,1,0,0,0,10,5,1,0
11,0,0,14.76,16.665,81,19.0012,56,1,0,0,0,1,0,0,0,11,5,1,0
12,0,0,17.22,21.21,77,19.0012,84,1,0,0,0,1,0,0,0,12,5,1,0
13,0,0,18.86,22.725,72,19.9995,94,1,0,0,0,0,1,0,0,13,5,1,0
14,0,0,18.86,22.725,72,19.0012,106,1,0,0,0,0,1,0,0,14,5,1,0
15,0,0,18.04,21.97,77,19.9995,110,1,0,0,0,0,1,0,0,15,5,1,0
16,0,0,17.22,21.21,82,19.9995,93,1,0,0,0,0,1,0,0,16,5,1,0
17,0,0,18.04,21.97,82,19.0012,67,1,0,0,0,0,1,0,0,17,5,1,0
18,0,0,17.22,21.21,88,16.9979,35,1,0,0,0,0,0,1,0,18,5,1,0
19,0,0,17.22,21.21,88,16.9979,37,1,0,0,0,0,0,1,0,19,5,1,0
20,0,0,16.4,20.455,87,16.9979,36,1,0,0,0,0,1,0,0,20,5,1,0
21,0,0,16.4,20.455,87,12.998,34,1,0,0,0,0,1,0,0,21,5,1,0
22,0,0,16.4,20.455,94,15.0013,28,1,0,0,0,0,1,0,0,22,5,1,0
23,0,0,18.86,22.725,88,19.9995,39,1,0,0,0,0,1,0,0,23,5,1,0
24,0,0,18.86,22.725,88,19.9995,17,1,0,0,0,0,1,0,0,0,6,1,0
25,0,0,18.04,21.97,94,16.9979,17,1,0,0,0,0,1,0,0,1,6,1,0
26,0,0,17.22,21.21,100,19.0012,9,1,0,0,0,0,1,0,0,2,6,1,0
27,0,0,18.86,22.725,94,12.998,6,1,0,0,0,0,1,0,0,3,6,1,0
28,0,0,18.86,22.725,94,12.998,3,1,0,0,0,0,1,0,0,4,6,1,0
29,0,0,17.22,21.21,77,19.9995,2,1,0,0,0,0,0,1,0,6,6,1,0
30,0,0,16.4,20.455,76,12.998,1,1,0,0,0,0,1,0,0,7,6,1,0
31,0,0,16.4,20.455,71,15.0013,8,1,0,0,0,0,0,1,0,8,6,1,0
32,0,0,15.58,19.695,76,15.0013,20,1,0,0,0,0,1,0,0,9,6,1,0
33,0,0,14.76,17.425,81,15.0013,53,1,0,0,0,0,1,0,0,10,6,1,0
34,0,0,14.76,16.665,71,16.9979,70,1,0,0,0,0,1,0,0,11,6,1,0
